e,scale_analytic_magnified,scale_galsim_magnified,scale_wh_magnified,scale_analytic,scale_galsim,scale_wh
0.0,1.0,0.9999923957691513,1.0066036151561706,1.0,0.9999923957691513,1.0066036151561706
0.004874371859296483,1.0000201147494716,1.0000094843630019,1.0066215535035867,1.0000082346894357,0.9999947897741907,1.0066095950196394
0.009748743718592965,1.0000804659993807,1.0000707293613345,1.0066753811183284,1.000032942044499,1.0000263711002755,1.0066275437722152
0.014623115577889447,1.0001810747605502,1.0001770640358452,1.0067651357187544,1.000074131928492,1.0000679418330363,1.0066574888960458
0.01949748743718593,1.0003219760721547,1.0002944296740466,1.0068908801717373,1.0001318207903505,1.0001479870992374,1.0066994761801773
0.024371859296482414,1.000503219033464,1.0005000639815105,1.0070527024971287,1.0002060316798151,1.0001843703728883,1.0067535696988066
0.029246231155778894,1.0007248668483533,1.0007288367684417,1.007250715874127,1.000296794268701,1.0002800688718925,1.0068198517809237
0.03412060301507538,1.000986996882657,1.0009790570090187,1.0074850586496524,1.000404144878296,1.0004299160879928,1.0068984229714406
0.03899497487437186,1.0012897007344517,1.0013022790503068,1.0077558943488798,1.0005281265129369,1.00054278539134,1.00698940198393
0.043869346733668345,1.001633084317391,1.0016958392255757,1.0080634116881007,1.0006687888998074,1.000668239736563,1.007092925645113
0.04874371859296483,1.0020172679572203,1.0019640090947821,1.0084078245901233,1.000826188535024,1.0008594263396062,1.0072091488312716
0.05361809045226131,1.002442386501634,1.0024617653243053,1.008789372202452,1.001000388736076,1.000985876936604,1.007338244396782
0.05849246231155779,1.0029085894436496,1.0030014406769312,1.0092083189185141,1.0011914597007021,1.001229371025447,1.007480403094993
0.06336683417085427,1.0034160410587003,1.00338026348877,1.0096649544022365,1.00139947857229,1.00152139838426,1.0076358334916893
0.06824120603015076,1.0039649205556789,1.0038164490774324,1.0101595936163101,1.0016245295119073,1.0016951249769435,1.007804761871421
0.07311557788944724,1.0045554222421664,1.0045052049315064,1.0106925768545014,1.0018667037770608,1.0018376394286714,1.007987432136982
0.07798994974874372,1.0051877557041289,1.0051594043315721,1.0112642697784113,1.0021260998073198,1.002051077525087,1.008184105702367
0.0828643216080402,1.0058621460003747,1.0058247818805262,1.011875063459107,1.0024028233169233,1.002414300168903,1.008395061379536
0.08773869346733669,1.0065788338720936,1.0066793689285314,1.012525374424086,1.0026969873945188,1.0026550163254924,1.0086205952593548
0.09261306532663317,1.0073380759678263,1.0073890289117382,1.0132156447100602,1.0030087126101872,1.0030645893520753,1.0088610205870914
0.09748743718592966,1.00814014508424,1.0082673585123028,1.0139463419220824,1.0033381271299158,1.003323283294792,1.0091166676328749
0.10236180904522614,1.0089853304231111,1.0089770437724832,1.014717959299562,1.0036853668377013,1.003566674901103,1.0093878835575354
0.10723618090452262,1.0098739378649495,1.0098250456554434,1.0155310157897584,1.0040505754654647,1.0039836070656056,1.0096750322742678
0.11211055276381911,1.0108062902597208,1.010833110761926,1.0163860561293545,1.0044339047309898,1.0043528439796645,1.0099784943065857
0.11698492462311558,1.0117827277351654,1.011857192195045,1.0172836509347647,1.0048355144840915,1.0047761675290636,1.0102986666430334
0.12185929648241206,1.0128036080232319,1.012838523255751,1.0182243968018414,1.005255572861245,1.0052180524871073,1.0106359625891577
0.12673366834170854,1.0138693068051867,1.0138497788235772,1.019208916415694,1.0056942564489217,1.0056023153870721,1.0109908116172484
0.13160804020100503,1.0149802180759937,1.0149964975309032,1.0202378586713483,1.0061517504558812,1.0062265065888276,1.0113636592143709
0.1364824120603015,1.016136754528584,1.0160250334241065,1.0213118988060217,1.0066282488946918,1.0067134513795397,1.011754966729233
0.141356783919598,1.017339347958694,1.017380124488947,1.022431738543808,1.0071239547727693,1.0071803416788487,1.0121652112184367
0.14623115577889448,1.018588449690965,1.0186118823846553,1.0235981062536086,1.007639080293231,1.007730246234975,1.0125948852926872
0.15110552763819096,1.01988453102706,1.0198072526744684,1.0248117571211672,1.0081738470658812,1.0082923334298923,1.0130444969635293
0.15597989949748745,1.0212280837165777,1.0212467766740887,1.0260734733361152,1.008728486328669,1.0087640805401683,1.0135145694912089
0.16085427135678393,1.0226196204516058,1.022600777121133,1.0273840642949492,1.0093032391799597,1.0092027215060357,1.0140056412342575
0.1657286432160804,1.0240596753857847,1.0239693929304319,1.0287443668209084,1.009898356821997,1.0098983106389983,1.0145182655014078
0.1706030150753769,1.0255488046788173,1.0255127959310693,1.030155245401763,1.0105141008159406,1.0104786787961557,1.0150530104064668
0.17547738693467338,1.0270875870673977,1.0271010236444413,1.031617592446529,1.0111507433488829,1.0111714735940056,1.0156104587267714
0.18035175879396986,1.0286766244635994,1.028660100499337,1.0331323285622058,1.0118085675132735,1.011863245135071,1.0161912077658648
0.18522613065326635,1.0303165425818008,1.030319085768394,1.0347004028516338,1.0124878675991982,1.012456921937518,1.016795869221043
0.19010050251256283,1.032007991595306,1.031956712832556,1.0363227932336292,1.0131889493999773,1.0131531143874704,1.0174250690564193
0.1949748743718593,1.0337516468238583,1.0337107308951226,1.0380005067865914,1.0139121305315726,1.0138710781247067,1.018079447382173
0.1998492462311558,1.0355482094533257,1.0356281275422945,1.0397345801168112,1.0146577407663149,1.0146751037151123,1.0187596583406449
0.20472361809045228,1.0373984072888942,1.0374394747169287,1.0415260797527712,1.0154261223814838,1.0153651358186186,1.0194663699999555
0.20959798994974876,1.0393029955431756,1.0392973541893624,1.0433761025667552,1.0162176305233,1.0161729643895319,1.0202002642558299
